date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:20	105/105	---M-Z	200	added ('OK')	text/plain	etag:%223f794434fe7633716b706447c435a3e8%22	https://happier-decisions-886610.framer.app/robots.txt		(from )
01:10:21	363085/363085	---M-Z	200	added ('OK')	text/html	etag:%22dd913cc2b3d122663b5a9ddc874192d9%22	https://happier-decisions-886610.framer.app/	C:/My%20Web%20Sites/paing/happier-decisions-886610.framer.app/index.html	(from )
01:10:22	325/325	---MC-	200	added ('OK')	image/png	etag:%22c7c62e320239944f23d30e00ce64384e%22	https://framerusercontent.com/images/rsP4HHVASGyEmYgkovQ7bxGo4pQ.png	C:/My%20Web%20Sites/paing/framerusercontent.com/images/rsP4HHVASGyEmYgkovQ7bxGo4pQ.png	(from https://happier-decisions-886610.framer.app/)
01:10:22	326/326	---MC-	200	added ('OK')	image/png	etag:%22e4e1a97cc885ba3e2f3adc6fdb92b546%22	https://framerusercontent.com/images/m3gxhNJXbE7izrN2tppo1Cbn6Rk.png	C:/My%20Web%20Sites/paing/framerusercontent.com/images/m3gxhNJXbE7izrN2tppo1Cbn6Rk.png	(from https://happier-decisions-886610.framer.app/)
01:10:23	928/928	---MC-	200	added ('OK')	image/png	etag:%22f0e7cf0abab8f4f33ab27fa0ece8af67%22	https://framerusercontent.com/images/6jTEps3FhlnB2Mn7xXsuicyfp0.png	C:/My%20Web%20Sites/paing/framerusercontent.com/images/6jTEps3FhlnB2Mn7xXsuicyfp0.png	(from https://happier-decisions-886610.framer.app/)
01:10:23	288690/288690	---M-Z	200	added ('OK')	text/html	etag:%22c14fce3b9b5cbee44f8c0f2acfe98262%22	https://happier-decisions-886610.framer.app/about	C:/My%20Web%20Sites/paing/happier-decisions-886610.framer.app/about.html	(from https://happier-decisions-886610.framer.app/)
01:10:25	228824/228824	---M-Z	200	added ('OK')	text/html	etag:%22e1f61287ea7e88954483d2c02d96100c%22	https://happier-decisions-886610.framer.app/portfolio	C:/My%20Web%20Sites/paing/happier-decisions-886610.framer.app/portfolio.html	(from https://happier-decisions-886610.framer.app/)
01:10:26	190191/190191	---M-Z	200	added ('OK')	text/html	etag:%22e4b3447e72c75f430a1c95ebdbd43929%22	https://happier-decisions-886610.framer.app/contact	C:/My%20Web%20Sites/paing/happier-decisions-886610.framer.app/contact.html	(from https://happier-decisions-886610.framer.app/)
01:10:27	223823/223823	---M-Z	200	added ('OK')	text/html	etag:%22e7877e20a66fb065e4a9dbe687c66d8f%22	https://happier-decisions-886610.framer.app/portfolio-details/bacchanalia	C:/My%20Web%20Sites/paing/happier-decisions-886610.framer.app/portfolio-details/bacchanalia.html	(from https://happier-decisions-886610.framer.app/)
01:10:28	233375/233375	---MC-	200	added ('OK')	image/jpeg	etag:%22d13447fa02ea1fe7b04f6b62633c169a%22	https://framerusercontent.com/images/JLAPIhC0TFkK3xH24TJjnHpJdE.jpg?width=2048&height=1365	C:/My%20Web%20Sites/paing/framerusercontent.com/images/JLAPIhC0TFkK3xH24TJjnHpJdE594b.jpg	(from https://happier-decisions-886610.framer.app/)
01:10:29	226758/226758	---M-Z	200	added ('OK')	text/html	etag:%22c41831ea74740e4727408ef37c801e79%22	https://happier-decisions-886610.framer.app/portfolio-details/dauphinrealestate	C:/My%20Web%20Sites/paing/happier-decisions-886610.framer.app/portfolio-details/dauphinrealestate.html	(from https://happier-decisions-886610.framer.app/)
